"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","E-Mail","Tel","Fax","Pruefung"
1,"Bildungsdirektion Burgenland","Bildungsdirektion Burgenland","Bildung","Behörde","Kernausteig 3",7000,"office@bildung-bgld.gv.at","+432682710","+4326827101009","19.08.2020"
2,"Landespolizeidirektion Burgenland","Landespolizeidirektion Burgenland","Infrastruktur","Polizei","Neusiedler Straße 84",7000,"LPD-B@polizei.gv.at","+4359133/10/0","+4359133/10/1009","19.08.2020"
3,"Wirtschaftskammer Burgenland","Wirtschaftskammer Burgenland","Interessensvertretung","Kammer","Robert-Graf-Platz 1",7000,"wkbgld@wkbgld.at","+435909072000","+435909072015","18.08.2020"
4,"Rechtanswaltskammer Burgenland","Rechtanswaltskammer Burgenland","Interessensvertretung","Kammer","Marktstraße 3",7000,"rak.bgld@aon.at","+43720211990","+43720211991","18.08.2020"
5,"Landeszahnärztekammer Burgenland","Landeszahnärztekammer Burgenland","Interessensvertretung","Kammer","Schlossplatz 1",7431,"office@bgld.zahnaerztekammer.at","+43505117000","+43505117002","18.08.2020"
6,"Notariatskammer für Wien, Niederösterreich und Burgenland","Notariatskammer für Wien, Niederösterreich und Burgenland ","Interessensvertretung","Kammer","Landesgerichtsstraße 20",1010,"kammer-wnb@notar.or.at","+43140245090","+4314063475","18.08.2020"
7,"Ärztekammer Burgenland","Ärztekammer Burgenland","Interessensvertretung","Kammer","Johann Permayerstraße 3",7000,"office@aekbgld.at","+43268262521","+4326826252190","18.08.2020"
8,"Apothekerkammer Burgenland","Apothekerkammer Burgenland","Interessensvertretung","Kammer","Permayerstraße 3",7000,"burgenland@apothekerkammer.at","+43268261645","+43268266115","18.08.2020"
9,"Kammer der Steuerberater und Wirtschaftsprüfer Burgenland","Kammer der Steuerberater und Wirtschaftsprüfer Burgenland","Interessensvertretung","Kammer","Schönbrunnerstraße 222-228/1/6/2",1120,"office@ksw.or.at","+431811730","+43181173100","18.08.2020"
10,"Kammer der ZiviltechnikerInnen für Wien, Niederösterreich und Burgenland","Kammer der ZiviltechnikerInnen für Wien, Niederösterreich und Burgenland","Interessensvertretung","Kammer","Karlsgasse 9/1",1040,"kammer@arching.at","+4315051781","+4315051005","18.08.2020"
11,"Arbeiterkammer Burgenland","Kammer für Arbeiter und Angestellte für das Burgenland","Interessensvertretung","Kammer","Wiener Straße 7",7000,"akbgld@akbgld.at","+432682740",,"18.08.2020"
12,"FH Burgenland","Fachhochschule Burgenland GmbH","Bildung","Fachhochschule","Campus 1",7000,"office@fh-burgenland.at","'+4357705","'+43577051199","24.08.2020"
13,"PH Burgenland","Stiftung private Pädagogische Hochschule Burgenland","Bildung","Pädagogische Hochschule","Thomas-Alva-Edison-Straße 1",7000,"office@ph-burgenland.at","+43268224817",,"24.08.2020"
14,"FPÖ","Freiheitliche Partei Österreich – Landesgruppe Burgenland","Interessensvertretung","Partei","Ruster Straße 70b",7000,"lgst.bgld@fpoe.at","+43268262846",,"19.09.2020"
15,"SPÖ","Sozialdemokratische Partei – Landesorganisation Burgenland","Interessensvertretung","Partei","Johann Permayer Straße 2",7000,"burgenland@spoe.at","+4326827750","+432682775210","19.09.2020"
16,"ÖVP","Volkspartei Burgenland","Interessensvertretung","Partei","Julius-Raab-Straße 7",7000,"office@oevp-burgenland.at","+432682799",,"19.09.2020"
17,"Die Grünen","Die Grünen - Die Grüne Alternative Burgenland","Interessensvertretung","Partei","Pfarrgasse 30",7000,"bgld@gruene.at","+436648317510",,"19.09.2020"
