"Id","Name","Branche","Typ","Adresse","PLZ","Land","E-Mail","Tel","Fax"
1,"AKV Europa","Auskunfteien","Auskunfteien","Schleifmühlgasse 2",1040,"Österreich","office@akveuropa.at","+435041000","+435041001522"
2,"KSV1870 Information GmbH","Auskunfteien","Auskunfteien","Wagenseilgasse 7",1120,"Österreich","ksv@ksv.at","+43501870","+43501870991000"
3,"Creditreform Wirtschaftsauskunftei Kubicki KG","Auskunfteien","Auskunfteien","Muthgasse 36-40/Bauteil 4",1190,"Österreich","creditreform@wien.creditreform.at","+43121862200","+43121862204"
4,"Aktiv Inkasso e.U.","Auskunfteien","Auskunfteien","Walfischgasse 6/1",1010,"Österreich","erfolg@aktivinkasso.at","+436606300000",
5,"Auskunftei Lux staatl konz cand jur K.G. WRBA","Auskunfteien","Auskunfteien","Grünentorgasse 29/13",1090,"Österreich","wrba@a1.net","+4313151939",
6,"AVS Betriebsorganisation GesmbH","Auskunfteien","Auskunfteien","Hebbelplatz 5",1100,"Österreich","austria@avs-europe.com","+4316045858","+4316039595"
7,"Bisnode Austria GmbH","Auskunfteien","Auskunfteien","Geiselbergstraße 17-19/3/5",1110,"Österreich","office.at@bisnode.com","+431588610","+431588613333"
8,"Bisnode D&B Austria GmbH","Auskunfteien","Auskunfteien","Geiselbergstraße 17-19/3/5",1110,"Österreich","office@bisnode.com","+431588610","+431588613333"
9,"Coface Central Europe Holding AG","Auskunfteien","Auskunfteien","Marxergasse 4",1030,"Österreich","office@cofacecentraleurope.com","+431515540","+4315124415"
10,"Eder Christian Auskunftei GmbH","Auskunfteien","Auskunfteien","Wallackstraße 17",5671,"Österreich","christian.eder@sbg.at","+436644302981","+4365456048"
11,"Fair Use Auskunftei GmbH","Auskunfteien","Auskunfteien","Metzgerstraße 54",5020,"Österreich","office@fair-use.at","+43662451540",
12,"Mobilitätszentrale Burgenland","Auskunfteien","Auskunfteien","Domplatz 26",7000,"Österreich","office@b-mobil.info","+43268221070",
