"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","Land","E-Mail","Tel","Fax","Pruefung"
1,"Bildungsdirektion Salzburg","Bildungsdirektion Salzburg","Bildung","Behörde","Mozartplatz 8-10",5010,"Österreich","homepage@bildung-sbg.gv.at","+436628083","'+4366280831099","19.08.2020"
2,"Landespolizeidirektion Salzburg","Landespolizeidirektion Salzburg","Infrastruktur","Polizei","Alpenstraße 90",5020,"Österreich","LPD-S@polizei.gv.at","+4359133500","+4359133507800","19.08.2020"
3,"Wirtschaftskammer Salzburg","Wirtschaftskammer Salzburg","Interessensvertretung","Kammer","Julius-Raab-Platz 1",5027,"Österreich","info@wks.at","+4366288880","+436628888188","18.08.2020"
4,"Rechtanswaltskammer Salzburg","Rechtanswaltskammer Salzburg","Interessensvertretung","Kammer","Imbergstraße 31C",5020,"Österreich","info@srak.at","+43662640042","+43662640428","18.08.2020"
5,"Landeszahnärztekammer Salzburg","Landeszahnärztekammer Salzburg","Interessensvertretung","Kammer","Rochusgasse 4",5020,"Österreich","office@sbg.zahnaerztekammer.at","+43505115020","+43505115025","18.08.2020"
6,"Notariatskammer für Salzburg","Notariatskammer für Salzburg","Interessensvertretung","Kammer","Ignaz-Harrer-Straße 7",5020,"Österreich","salzburg@notariatskammer.at","+43662845359","+436628453594","18.08.2020"
7,"Ärztekammer Salzburg","Ärztekammer Salzburg","Interessensvertretung","Kammer","Faberstraße 10",5020,"Österreich","aeksbg@aeksbg.at","+436628713270","+4366287132710","18.08.2020"
8,"Apothekerkammer Salzburg","Apothekerkammer Salzburg","Interessensvertretung","Kammer","Alpenstraße 112/2",5020,"Österreich","salzburg@apothekerkammer.at","+43662627496","+4366262751314","18.08.2020"
9,"Arbeiterkammer Salzburg","Kammer für Arbeiter und Angestellte für Salzburg","Interessensvertretung","Kammer","Markus-Sittikus-Straße 10",5020,"Österreich","kontakt@ak-salzburg.at","+436628687","+43662876258","18.08.2020"
10,"Kammer der Steuerberater und Wirtschaftsprüfer Salzburg","Kammer der Steuerberater und Wirtschaftsprüfer Salzburg","Interessensvertretung","Kammer","Rainerstraße 5/3",5020,"Österreich","salzburg@ksw.or.at","+436628711680","+436628711683","18.08.2020"
11,"Kammer der ZiviltechnikerInnen für Oberösterreich und Salzburg","Kammer der ZiviltechnikerInnen für Oberösterreich und Salzburg","Interessensvertretung","Kammer","Kaarstraße 2/II",4040,"Österreich","linz@arching-zt.at","+43732738394","+437327383944","18.08.2020"
12,"Salzburger Landarbeiterkammer","Salzburger Kammer für Arbeiter und Angestellte in der Land- und Forstwirtschaft","Interessensvertretung","Kammer","Schrannengasse 2/3/1, Postfach 11",5027,"Österreich","landarbeiterkammer@lak-sbg.at","+436628712320","+436628712324","18.08.2020"
