"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","Land","E-Mail","Tel","Fax","Pruefung"
1,"LBS Eibiswald","Landesberufsschule Eibiswald","Bildung","Schule","Eibiswald 229",8552,"Österreich","lbseibis@stmk.gv.at","'+433466423350","'+433466/4233520","25.08.2020"
2,"LBS Mitterdorf im Mürztal","Landesberufsschule Mitterdorf im Mürztal","Bildung","Schule","Untere Berggasse 37",8662,"Österreich","lbsmitter@stmk.gv.at","'+433858/22530","'+433858/22534","25.08.2020"
3,"LBS Bad Gleichenberg","Landesberufsschule Bad Gleichenberg","Bildung","Schule","Mailandbergstraße 16",8344,"Österreich","lbsgleichenb@stmk.gv.at","'+433159/22110","'+433159/221140","25.08.2020"
4,"LBS Feldbach","Landesberufsschule Feldbach","Bildung","Schule","Feldgasse 3",8330,"Österreich","lbsfb@stmk.gv.at","'+433152/40070","'+433152/40076","25.08.2020"
5,"LBS Mureck","Landesberufsschule Mureck","Bildung","Schule","Hauptplatz 6",8480,"Österreich","lbsmureck@stmk.gv.at","'+433472/23140","'+433472/23144","25.08.2020"
6,"LBS Graz 4","Landesberufsschule Graz 4","Bildung","Schule","Hans-Brandstetter-Gasse 2",8010,"Österreich","lbsgraz4@stmk.gv.at","'+43316/4722350","'+43316/4722357","25.08.2020"
7,"LBS Fürstenfeld","Landesberufsschule Fürstenfeld","Bildung","Schule","Gürtelgasse 8",8280,"Österreich","lbsff@stmk.gv.at","'+433382/522050","'+433382/5220522","25.08.2020"
8,"LBS Graz 3","Landesberufsschule Graz 3","Bildung","Schule","Hans-Brandstetter-Gasse 8",8010,"Österreich","lbsgraz3@stmk.gv.at","'+43316/4712440","'+43316/471244613","25.08.2020"
9,"LBS Murau","Landesberufsschule Murau","Bildung","Schule","Heiligenstatt 10",8850,"Österreich","lbsmu@stmk.gv.at","'+433532/23290","'+433532/23294","25.08.2020"
10,"LBS Graz 2","Landesberufsschule Graz 2","Bildung","Schule","Hans-Brandstetter-Gasse 12",8010,"Österreich","lbsgraz2@stmk.gv.at","'+43316/4714680","'+43316/471468704","25.08.2020"
11,"LBS Graz 1","Landesberufsschule Graz 1","Bildung","Schule","Hans-Brandstetter-Gasse 12",8010,"Österreich","lbsgraz1@stmk.gv.at","'+43316/471044","'+43316/471044804","25.08.2020"
12,"LBS Hartberg","Landesberufsschule Hartberg","Bildung","Schule","Franz-Schmidt-Gasse 5",8230,"Österreich","lbshb1@stmk.gv.at","'+433332/629390","'+433332/629394","25.08.2020"
13,"LBS Bad Radkersburg","Landesberufsschule Bad Radkersburg","Bildung","Schule","Barthold-Stürgkh-Straße 7","8490","Österreich","lbsra@stmk.gv.at","'+433476/25410","'+433476/254178","25.08.2020"
14,"LBS Voitsberg","Landesberufsschule Voitsberg","Bildung","Schule","Mozartgasse 14",8570,"Österreich","lbsvo@stmk.gv.at","'+433142/223940","'+433142/2239418","25.08.2020"
15,"LBS Arnfels","Landesberufsschule Arnfels","Bildung","Schule","Hardegger Straße 160",8454,"Österreich","lbsarnfels@stmk.gv.at","'+433455/2540","'+433455/2546","25.08.2020"
16,"LBS Knittelfeld","Landesberufsschule Knittelfeld","Bildung","Schule","Portniggstraße 21",8720,"Österreich","lbskf@stmk.gv.at","'+433512/828100","'+433512/828103","25.08.2020"
