"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","Land","E-Mail","Tel","Fax","Pruefung"
1,"Magistrat Graz","Magistrat Graz","Bezirksbehörde","Administration","Hauptplatz 1",8010,"Österreich","stadtverwaltung@graz.at","+433168720","+433168722369","19.08.2020"
2,"BH Bruck-Mürzzuschlag","Bezirkshauptmannschaft Bruck-Mürzzuschlag","Bezirksbehörde","Administration","Dr.-Theodor-Körner-Straße 34",8600,"Österreich","bhbm@stmk.gv.at","+4338628990","+433862899550","19.08.2020"
3,"BH Deutschlandsberg","Bezirkshauptmannschaft Deutschlandsberg","Bezirksbehörde","Administration","Kirchengasse 12",8530,"Österreich","bhdl@stmk.gv.at","+43346226060","+4334622606550","19.08.2020"
4,"BH Graz-Umgebung","Bezirkshauptmannschaft Graz-Umgebung","Bezirksbehörde","Administration","Bahnhofgürtel 85",8020,"Österreich","bhgu@stmk.gv.at","+4331670750","+433167075333","19.08.2020"
5,"BH Hartberg-Fürstenfeld","Bezirkshauptmannschaft Hartberg-Fürstenfeld","Bezirksbehörde","Administration","Rochusplatz 2",8230,"Österreich","bhhf@stmk.gv.at","+4333326060","+433332606550","19.08.2020"
6,"BH Leibnitz","Bezirkshauptmannschaft Leibnitz","Bezirksbehörde","Administration","Kada-Gasse 12",8430,"Österreich","bhlb@stmk.gv.at","+433452829110","+43345282911550","19.08.2020"
7,"BH Liezen","Bezirkshauptmannschaft Liezen","Bezirksbehörde","Administration","Hauptplatz 12",8940,"Österreich","bhli@stmk.gv.at","+43361228010","+4336122801550","19.08.2020"
8,"BH Leoben","Bezirkshauptmannschaft Leoben","Bezirksbehörde","Administration","Peter Tunner-Straße 6",8700,"Österreich","bhln@stmk.gv.at","+433842455710","+43384245571550","19.08.2020"
9,"BH Murtal","Bezirkshauptmannschaft Murtal","Bezirksbehörde","Administration","Kapellenweg 11",8750,"Österreich","bhmt@stmk.gv.at","+433572832010","+43357283201550","19.08.2020"
10,"BH Murau","Bezirkshauptmannschaft Murau","Bezirksbehörde","Administration","Bahnhofviertel 7",8850,"Österreich","bhmu@stmk.gv.at","+43353221010","+4335322101550","19.08.2020"
11,"BH Südoststeiermark","Bezirkshauptmannschaft Südoststeiermark","Bezirksbehörde","Administration","Bismarckstraße 11-13",8330,"Österreich","bhso@stmk.gv.at","+43315225110","+4331522511550","19.08.2020"
12,"BH Voitsberg","Bezirkshauptmannschaft Voitsberg","Bezirksbehörde","Administration","Schillerstraße 10",8570,"Österreich","bhvo@stmk.gv.at","+433142215200","+43314221520550","19.08.2020"
13,"BH Weiz","Bezirkshauptmannschaft Weiz","Bezirksbehörde","Administration","Birkfelder Straße 28",8160,"Österreich","bhwz@stmk.gv.at","+4331726000","+433172600550","19.08.2020"
