"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","Land","E-Mail","Tel","Fax","Pruefung"
1,"Bildungsdirektion für Vorarlberg","Bildungsdirektion für Vorarlberg","Bildung","Behörde","Bahnhofstraße 12",6900,"Österreich","office@bildung-vbg.gv.at","+43557449600","+4355744960408","19.08.2020"
2,"Amt der Vorarlberger Landesregierung","Amt der Vorarlberger Landesregierung","Landesbehörde","Administration","Römerstraße 15",6901,"Österreich","land@vorarlberg.at","+4355745110","+435574511920095","19.08.2020"
3,"Landespolizeidirektion Vorarlberg","Amt der Vorarlberger Landesregierung","Infrastruktur","Polizei","Bahnhofstraße 45",6900,"Österreich","LPD-V@polizei.gv.at","+4359133800","+4359133801009","19.08.2020"
4,"Wirtschaftskammer Vorarlberg","Wirtschaftskammer Vorarlberg","Interessensvertretung","Kammer","Wichnergasse 9",6800,"Österreich","info@wkv.at","+435522305","+435522305100","18.08.2020"
5,"Rechtanswaltskammer Vorarlberg","Rechtanswaltskammer Vorarlberg","Interessensvertretung","Kammer","Marktplatz 11",6800,"Österreich","kammer@rechtsanwaelte-vorarlberg.at","+43552271122","+4355227112211","18.08.2020"
6,"Landeszahnärztekammer Vorarlberg","Landeszahnärztekammer Vorarlberg","Interessensvertretung","Kammer","Rösslepark 1",6800,"Österreich","office@vlbg.zahnaerztekammer.at","+43505116800","+43505116804","18.08.2020"
7,"Notariatskammer für Tirol und Vorarlberg","Notariatskammer für Tirol und Vorarlberg","Interessensvertretung","Kammer","Maximilianstraße 3",6010,"Österreich","Notariatskammer@nktv.at","+43512564141","+4351256414150","18.08.2020"
8,"Ärztekammer Vorarlberg","Ärztekammer Vorarlberg","Interessensvertretung","Kammer","Schulgasse 17",6850,"Österreich","aek@aekvbg.at","+43557221900","+4355722190043","18.08.2020"
9,"Apothekerkammer Vorarlberg","Apothekerkammer Vorarlberg","Interessensvertretung","Kammer","Bergstraße 8",6900,"Österreich","vorarlberg@apothekerkammer.at","+43557443038","+4314028602956","18.08.2020"
10,"Arbeiterkammer Vorarlberg","Kammer für Arbeiter und Angestellte für Vorarlberg","Interessensvertretung","Kammer","Widnau 2-4",6800,"Österreich","mailbox@ak-vorarlberg.at","'+4350258-0",,"18.08.2020"
11,"Kammer der Steuerberater und Wirtschaftsprüfer Vorarlberg","Kammer der Steuerberater und Wirtschaftsprüfer Vorarlberg","Interessensvertretung","Kammer","Schillerstraße 22",6890,"Österreich","vorarlberg@ksw.or.at","+4355778262810","+4355778262813","18.08.2020"
12,"Kammer der ZiviltechnikerInnen für Tirol und Vorarlberg","Kammer der ZiviltechnikerInnen für Tirol und Vorarlberg","Interessensvertretung","Kammer","Rennweg 1",6020,"Österreich","arch.ing.office@kammerwest.at","+43512588335","+435125883356","18.08.2020"
13,"Landarbeiterkammer Vorarlberg","Landarbeiterkammer Vorarlberg","Interessensvertretung","Kammer","Montfortstraße 9",6900,"Österreich","dienstnehmer@lk-vbg.at","+435574400770","+435574400600","18.08.2020"
