"Id","Name","Name_Lang","Branche","Typ","Adresse","PLZ","Land","E-Mail","Tel","Fax","Pruefung"
1,"Magistratisches Bezirksamt für den 1., 8. Bezirk","Magistratisches Bezirksamt für den 1., 8. Bezirk","Bezirksbehörde","Administration","Wipplingerstraße 6-8",1010,"Österreich","post@mba01.wien.gv.at",,"+43140009901210","19.08.2020"
2,"Magistratisches Bezirksamt für den 10. Bezirk","Magistratisches Bezirksamt für den 10. Bezirk","Bezirksbehörde","Administration","Laxenburger Straße 43-45",1100,"Österreich","post@mba10.wien.gv.at","+431400010000","+43140009910220","19.08.2020"
3,"Magistratisches Bezirksamt für den 11. Bezirk","Magistratisches Bezirksamt für den 11. Bezirk","Bezirksbehörde","Administration","Enkplatz 2",1110,"Österreich","post@mba11.wien.gv.at","+431400011000","+43140009911220","19.08.2020"
4,"Magistratisches Bezirksamt für den 12. Bezirk","Magistratisches Bezirksamt für den 12. Bezirk","Bezirksbehörde","Administration","Schönbrunner Straße 259",1120,"Österreich","post@mba12.wien.gv.at","+431400012000","+43140009912220","19.08.2020"
5,"Magistratisches Bezirksamt für den 13., 14. Bezirk","Magistratisches Bezirksamt für den 13., 14. Bezirk","Bezirksbehörde","Administration","Hietzinger Kai 1",1130,"Österreich","post@mba13.wien.gv.at","+431400013000","+43140009913220","19.08.2020"
6,"Magistratisches Bezirksamt für den 15. Bezirk","Magistratisches Bezirksamt für den 15. Bezirk","Bezirksbehörde","Administration","Gasgasse 8-10",1150,"Österreich","post@mba15.wien.gv.at","+431400015000","+43140009915220","19.08.2020"
7,"Magistratisches Bezirksamt für den 16. Bezirk","Magistratisches Bezirksamt für den 16. Bezirk","Bezirksbehörde","Administration","Richard-Wagner-Platz 19",1160,"Österreich","post@mba16.wien.gv.at","+431400016261","+43140009916220","19.08.2020"
8,"Magistratisches Bezirksamt für den 18., 19. Bezirk","Magistratisches Bezirksamt für den 18., 19. Bezirk","Bezirksbehörde","Administration","Martinstraße 100",1180,"Österreich","post@mba18.wien.gv.at","+431400018000","+43140009918220","19.08.2020"
9,"Magistratisches Bezirksamt für den 2., 20. Bezirk","Magistratisches Bezirksamt für den 2., 20. Bezirk","Bezirksbehörde","Administration","Brigittaplatz 10",1200,"Österreich","post@mba20.wien.gv.at","+431400002000","+43140009920220","19.08.2020"
10,"Magistratisches Bezirksamt für den 21. Bezirk","Magistratisches Bezirksamt für den 21. Bezirk","Bezirksbehörde","Administration","Am Spitz 1",1210,"Österreich","post@mba21.wien.gv.at","+431400021000","+43140009921220","19.08.2020"
11,"Magistratisches Bezirksamt für den 22. Bezirk","Magistratisches Bezirksamt für den 22. Bezirk","Bezirksbehörde","Administration","Schrödingerplatz 1",1220,"Österreich","post@mba22.wien.gv.at","+431400022000","+43140009922220","19.08.2020"
12,"Magistratisches Bezirksamt für den 23. Bezirk","Magistratisches Bezirksamt für den 23. Bezirk","Bezirksbehörde","Administration","Perchtoldsdorfer Straße 2",1230,"Österreich","post@mba23.wien.gv.at","+431400023000","+43140009923210","19.08.2020"
13,"Magistratisches Bezirksamt für den 3. Bezirk","Magistratisches Bezirksamt für den 3. Bezirk","Bezirksbehörde","Administration","Karl-Borromäus-Platz 3",1030,"Österreich","post@mba03.wien.gv.at","+431400003000","+43140009903210","19.08.2020"
14,"Magistratisches Bezirksamt für den 4., 5. Bezirk","Magistratisches Bezirksamt für den 4., 5. Bezirk","Bezirksbehörde","Administration","Rechte Wienzeile 105",1050,"Österreich","post@mba04.wien.gv.at","+431400005000","+43140009905220","19.08.2020"
15,"Magistratisches Bezirksamt für den 6., 7. Bezirk","Magistratisches Bezirksamt für den 6., 7. Bezirk","Bezirksbehörde","Administration","Hermanngasse 24-26",1070,"Österreich","post@mba06.wien.gv.at","+431400007000","+43140009907220","19.08.2020"
